ms.issue-id,author,ms.service,ms.topic,ms.date,ms.author,ms.reviewer,ms.lastreviewed,ms.sub-service,applicable,cause,remediation,occurrence
azs-1002,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 2002 release.,"There is a portal bug that prevents VMSS creation with the Standard_DS2_v2 VM size. Creating one will error out with: ""{""code"":""DeploymentFailed"",""message"":""At least one resource deployment operation failed. Please list deployment operations for details. Please see https://aka.ms/arm-debug for usage details."",""details"":[{""code"":""BadRequest"",""message"":""{\r\n \""error\"": {\r\n \""code\"": \""NetworkProfileValidationError\"",\r\n \""message\"": \""Virtual Machine size Standard_DS2_v2 is not in the allowed list of VM sizes for accelerated networking to be enabled on the VM at index 0 for VM Scale Set /subscriptions/x/resourceGroups/RGVMSS/providers/Microsoft.Compute/virtualMachineScaleSets/vmss. Allowed sizes: .\""\r\n }\r\n}""}]}""",Create a VMSS with PowerShell or a resource manager template.,Common
azs-1003,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all releases.,"When viewing details of a VM in the overview blade, the computer name shows as (not available) . This is by design for VMs created from specialized disks/disk snapshots.",View the Properties blade under Settings .,nan
azs-1004,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to 2002 and later.,"When going through the VM creation experience, you will see the VM size: NV4as_v4. Customers who have the hardware required for the AMD Mi25-based Azure Stack Hub GPU preview are able to have a successful VM deployment. All other customers will have a failed VM deployment with this VM size.",By design in preparation for the Azure Stack Hub GPU preview.,nan
azs-1005,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new virtual machine (VM), the following error might be displayed: Failed to start virtual machine 'vm-name'. Error: Failed to update serial output settings for VM 'vm-name' . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",Recreate the storage account with the same name you used previously.,Common
azs-1006,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When trying to start a stop-deallocated virtual machine,the following error might be displayed: VM diagnostics Storage account 'diagnosticstorageaccount' not found. Ensure storage account is not deleted . The error occurs if you attempt to start a VM with boot diagnostics enabled, but the referenced boot diagnostics storage account is deleted.",Recreate the storage account with the same name you used previously.,Common
azs-1007,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new virtual machine, you may receive an error such as This subscription is at capacity for Total Regional vCPUs on this location. This subscription is using all 50 Total Regional vCPUs available. . This indicates that the quota for total cores available to you has been reached.",Ask your operator for an add-on plan with additional quota. Editing the current plan's quota will not work or reflect increased quota.,Rare
azs-1008,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,Creating VMs in an availability set of 3 fault domains and creating a virtual machine scale set instance fails with a FabricVmPlacementErrorUnsupportedFaultDomainSize error during the update process on a 4-node Azure Stack Hub environment.,"You can create single VMs in an availability set with 2 fault domains successfully. However, scale set instance creation is still not available during the update process on a 4-node Azure Stack Hub deployment.",nan
azs-1009,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to 2002.,"When configuring the automated backup of SQL VMs with a new storage account, it fails with the error Deployment template validation failed. The template parameter for 'SqlAutobackupStorageAccountKind' is not found.",Apply the latest 2002 hotfix.,nan
azs-1010,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,"This issue applies to new installations of 2002 and later, or any previous release with TLS 1.2 enabled.","When configuring the automated backup of SQL VMs with an existing storage account, it fails with the error SQL Server IaaS Agent: The underlying connection was closed: An unexpected error occurred on a send.",nan,Common
azs-1011,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new Windows virtual machine (VM), the following error might be displayed: Failed to start virtual machine 'vm-name'. Error: Failed to update serial output settings for VM 'vm-name' . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",Recreate the storage account with the same name you used previously.,Common
azs-1012,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to 1910 and earlier releases.,Unable to connect to the Privileged Endpoint (ERC VMs) from a computer running a non-English version of Windows.,"This is a known issue that has been fixed in releases later than 1910. As a workaround you can run the New-PSSession and Enter-PSSession PowerShell cmdlets using the en-US culture; for examples, set the culture using this script: https://resources.oreilly.com/examples/9780596528492/blob/master/Use-Culture.ps1.",Rare
azs-1013,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,Creating VMs in an availability set of 3 fault domains and creating a virtual machine scale set instance fails with a FabricVmPlacementErrorUnsupportedFaultDomainSize error during the update process on a 4-node Azure Stack Hub environment.,"You can create single VMs in an availability set with 2 fault domains successfully. However, scale set instance creation is still not available during the update process on a 4-node Azure Stack Hub deployment",nan
azs-1014,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"When creating a new Windows virtual machine (VM), the following error may be displayed: Failed to start virtual machine 'vm-name'. Error: Failed to update serial output settings for VM 'vm-name' . The error occurs if you enable boot diagnostics on a VM, but delete your boot diagnostics storage account.",Recreate the storage account with the same name you used previously.,Common
azs-1015,,,,,,,,,,Validation error.,list index out of range,
azs-1016,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,An Ubuntu 18.04 VM created with SSH authorization enabled does not allow you to use the SSH keys to sign in.,"Use VM access for the Linux extension to implement SSH keys after provisioning, or use password-based authentication.",Common
azs-1017,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"A new reset password blade appears in the scale set UI, but Azure Stack Hub does not support resetting password on a scale set yet.",None.,Common
azs-1018,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to all supported releases.,"The virtual machine scale set overview page shows an empty chart. Clicking on the empty chart opens a ""rainy cloud"" blade. This is the chart for scale set diagnostic information, such as CPU percentage, and is not a feature supported in the current Azure Stack Hub build.",None.,Common
azs-1019,,,,,,,,,,Validation error.,'ms.lastreviewed',
azs-1020,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 1906 and 1907 releases.,"A new reset password blade appears in the scale set UI, but Azure Stack Hub does not support resetting password on a scale set yet.",None.,Common
azs-1021,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 1906 and 1907 releases.,"The virtual machine scale set overview page shows an empty chart. Clicking on the empty chart opens a ""rainy cloud"" blade. This is the chart for scale set diagnostic information, such as CPU percentage, and is not a feature supported in the current Azure Stack Hub build.",None.,Common
azs-1022,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 1906 release.,There is a known issue in 1906 with custom roles and permission allocation for resource creation. You might face issues creating resources even if you have the correct permissions.,Please update to build 1907 to mitigate this issue.,Common
azs-1023,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,Virtual Machines,This issue applies to the 1906 and 1907 releases.,"The virtual machine diagnostic settings blade has a Sink tab, which asks for an Application Insight Account . This is the result of a new blade and is not yet supported in Azure Stack Hub.",None.,Common
azs-1024,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,An explicit DenyAllOutbound rule cannot be created in an NSG as this will prevent all internal communication to infrastructure needed for the VM deployment to complete.,nan,Common
azs-1025,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"When creating an inbound or an outbound network security rule, the Protocol option shows an ICMP option. This is currently not supported on Azure Stack Hub. This issue is fixed and will not appear in the next Azure Stack Hub release.",nan,Common
azs-1026,,,,,,,,,,Validation error.,'Remediation',
azs-1027,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,A new network interface cannot be added to a VM that is in a running state.,Stop the virtual machine before adding or removing a network interface.,Common
azs-1028,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,The primary NIC of a VM cannot be changed. Deleting or detaching the primary NIC results in issues when starting up the VM.,nan,Common
azs-1029,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,The IdleTimeoutInMinutes value for a public IP that is associated to a load balancer cannot be changed. The operation puts the public IP into a failed state.,"To bring the public IP back into a successful state, change the IdleTimeoutInMinutes value on the load balancer rule that references the public IP back to the original value (the default value is 4 minutes).",Common
azs-1030,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub.,Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policies,Common
azs-1031,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"When adding availability set VMs to the backend pool of a load balancer, an error message is displayed on the portal stating Failed to save load balancer backend pool . This is a cosmetic issue on the portal; the functionality is still in place and VMs are successfully added to the backend pool internally.",nan,Common
azs-1032,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,An explicit DenyAllOutbound rule cannot be created in an NSG as this will prevent all internal communication to infrastructure needed for the VM deployment to complete.,nan,Common
azs-1033,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, the Virtual Network blade shows an option to use Service Endpoints . This feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1034,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, when you create a route table, Virtual Network gateway appears as one of the next hop type options; however, this is not supported in Azure Stack Hub.",nan,Common
azs-1035,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, the Virtual Network Gateway blade shows an option to use Alerts . This feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1036,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, while creating, and in the resource menu of Virtual Network Gateway , you will see an option to enable Active-Active configuration. This feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1037,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, the Connections blade displays a feature called VPN Troubleshooter . This feature is not supported in Azure Stack Hub.",nan,Common
azs-1038,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub. Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policie,nan,nan
azs-1039,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"When adding Availability Set VMs to the backend pool of a Load Balancer, an error message is being displayed on the portal stating Failed to save load balancer backend pool . This is a cosmetic issue on the portal, the functionality is still in place and VMs are successfully added to the backend pool interally.",nan,Common
azs-1040,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,A new network interface cannot be added to a VM that is in a running state.,Stop the virtual machine before adding/removing a network interface.,Common
azs-1041,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,A new network interface cannot be added to a VM that is in a running state.,Stop the virtual machine before adding/removing a network interface.,Common
azs-1042,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"In the user portal, the Connections blade shows a feature called VPN Troubleshooter . This feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1043,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,"When disassociating an NSG and a NIC that is not attached to a running VM, the update (PUT) operation for that object fails at the network controller layer. The NSG will be updated at the network resource provider layer, but not on the network controller, so the NSG moves to a failed state.","Attach the NICs associated to the NSG that needs to be removed with running VMs, and disassociate the NSG or remove all the NICs that were associated with the NSG.",Common
azs-1044,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to any 1906 or 1907 environment.,"In the user portal, the AddConnection blade shows an option to use VNet-to-VNet . This feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1045,mattbriggs,azure-stack,include,2020-06-20,mabrigg,sranthar,nan,Network,This issue applies to all supported releases.,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub. Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policie,nan,nan
azs-1046,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"The two administrative subscriptions that were introduced with version 1804 should not be used. The subscription types are Metering subscription, and Consumption subscription.","If you have resources running on these two subscriptions, recreate them in user subscriptions.",Common
azs-1047,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,You cannot view permissions to your subscription using the Azure Stack Hub portals.,Use PowerShell to verify permissions .,Common
azs-1048,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, the name of storage accounts is shown as Storage account",nan,Common
azs-1049,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to release 2002.,"In the user portal, when creating a Managed Disk snapshot, the Account type box is empty. When you select the Create button with an empty account type, the snapshot creation fails.","Select an account type from the Account type dropdown list, then create the snapshot.",Common
azs-1050,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to 1908 and above.,"When a cable is disconnected from a network adapter, an alert does not show in the administrator portal. This issue is caused because this fault is disabled by default in Windows Server 2019.",nan,Common
azs-1051,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"The IAM extension is out of date. The Ibiza portal that shipped with Azure Stack Hub introduces a new behavior that causes the RBAC extension to fail if the user is opening the Access Control (IAM) blade for a subscription that is not selected in the global subscription selector ( Directory + Subscription in the user portal). The blade displays Loading in a loop, and the user cannot add new roles to the subscription. The Add blade also displays Loading in a loop.","Ensure that the subscription is checked in the Directory + Subscription menu. The menu can be accessed from the top of the portal, near the Notifications button, or via the shortcut on the All resources blade that displays Don't see a subscription? Open Directory + Subscription settings . The subscription must be selected in this menu",nan
azs-1052,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the administrator portal, the Lock blade for user subscriptions has two buttons that say Subscription .",nan,Common
azs-1053,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, the storage account Configuration blade shows an option to change security transfer type . The feature is currently not supported in Azure Stack Hub.",nan,Common
azs-1054,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you try to upload a blob using the OAuth(preview) option, the task fails with an error message.",Upload the blob using the SAS option.,Common
azs-1055,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you try to upload a blob in the upload blade, there is an option to select AAD or Key Authentication , however AAD is not supported in Azure Stack Hub.",nan,Common
azs-1056,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you select a managed disk, with disk type Premium SSD, the drop-down list shows OS Disk . The tooltip next to that option says Certain OS Disk sizes may be available for free with Azure Free Account ; however, this is not valid for Azure Stack Hub. In addition, the list includes Free account eligible which is also not valid for Azure Stack Hub.",nan,Common
azs-1057,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when a user attempts to delete a storage container, the operation fails when the user does not toggle Override Azure Policy and RBAC Role settings .",Ensure that the box is checked for Override Azure Policy and RBAC Role settings .,Common
azs-1058,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you navigate to Virtual Machines and try to refresh using the button at the top, the states fail to update accurately.",The status is automatically updated every 5 minutes regardless of whether the refresh button has been clicked or not. Wait 5 minutes and check the status.,Common
azs-1059,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you create a storage account and view its Configuration , you cannot save configuration changes, as it results in an AJAX error.",nan,Common
azs-1060,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,"This issue applies to the Azure Stack Hub 1910 update or later, with SQL resource provider version 1.1.33.0 or earlier installed.",The current version of the SQL resource provider is not compatible with some of the latest portal changes in the 1910 update.,"Follow the resource provider update process to apply the SQL resource provider hotfix 1.1.47.0 after Azure Stack Hub is upgraded to the 1910 update ( SQL RP version 1.1.47.0 ). For the MySQL resource provider, it is also recommended that you apply the MySQL resource provider hotfix 1.1.47.0 after Azure Stack Hub is upgraded to 1910 update ( MySQL RP version 1.1.47.0 ).",Common
azs-1061,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to stamps that are running 1908 or earlier.,"When deploying the SQL resource provider (RP) version 1.1.47.0, the portal shows no assets other than those associated with the SQL RP.","Delete the RP, upgrade the stamp, and re-deploy the SQL RP",nan
azs-1062,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to stamps that are running 1907 or later.,"When accessing the activity log, the portal only shows the first page of entries. Load more results will not load addition entries.",Adjust the time range in the filter to review entries that fall after the first page,nan
azs-1063,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the administrator portal, the Properties blade for subscriptions does not load correctly",You can view these subscription properties in the Essentials pane of the Subscriptions Overview blade.,Common
azs-1064,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the administrator portal, the Lock blade for user subscriptions has two buttons labeled subscription .",nan,Common
azs-1065,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to all supported releases.,"In the user portal, when you try to upload a blob using the OAuth(preview) option, the task fails with an error message.",Upload the blob using the SAS option.,Common
azs-1066,mattbriggs,azure-stack,include,2020-06-20,mabrigg,kivenkat,nan,nan,This issue applies to the 1908 release.,"When a cable is disconnected from a network adapter, an alert does not show in the administrator portal. This issue is caused because this fault is disabled by default in Windows Server 2019.",nan,Common
azs-1067,mattbriggs,azure-stack,include,2020-06-20,mabrigg,avishwan,nan,SQL and MySQL,This issue applies to release 2002.,"If the stamp contains SQL resource provider (RP) version 1.1.33.0 or earlier, upon update of the stamp, the blades for SQL/MySQL will not load.",Update the RP to version 1.1.47.0,nan
azs-1068,mattbriggs,azure-stack,include,2020-06-20,mabrigg,avishwan,nan,App Services,This issue applies to release 2002.,"If the stamp contains App Service resource provider (RP) version 1.7 and older, upon update of the stamp, the blades for App Service do not load.",Update the RP to version 2020 Q2 .,nan
azs-1069,mattbriggs,azure-stack,include,2020-06-20,mabrigg,avishwan,nan,Patch and Update,This issue applies to release 2002 release.,"After applying the 2002 update, an alert for an ""Invalid Time Source"" may incorrectly appear in the Administrator portal. This false-positive alert can be ignored and will be fixed in an upcoming release.","For other known Azure Stack Hub update issues, please see Troubleshooting Updates in Azure Stack Hub.",Common
azs-1070,mattbriggs,azure-stack,include,2020-06-20,mabrigg,avishwan,nan,Patch and Update,This issue applies to all supported releases.,"When attempting to install the Azure Stack Hub update, the status for the update might fail and change state to PreparationFailed . This is caused by the update resource provider (URP) being unable to properly transfer the files from the storage container to an internal infrastructure share for processing.","Starting with version 1901 (1.1901.0.95), you can work around this issue by clicking Update now again (not Resume ). The URP then cleans up the files from the previous attempt, and restarts the download. If the problem persists, we recommend manually uploading the update package by following the Install updates section .",Common
azs-1071,mattbriggs,azure-stack,include,2020-06-20,mabrigg,avishwan,nan,Patch and Update,This issue applies to all supported releases.,"When attempting to install the 1907 Azure Stack Hub update, the status for the update might fail and change state to PreparationFailed . This is caused by the update resource provider (URP) being unable to properly transfer the files from the storage container to an internal infrastructure share for processing.","Starting with version 1901 (1.1901.0.95), you can work around this issue by clicking Update now again (not Resume ). The URP then cleans up the files from the previous attempt, and restarts the download. If the problem persists, we recommend manually uploading the update package by following the Import and install updates section .",Common
